Team,SubTeam,Position,Link,Name,Email,Picture,Bio
Leadership,Leadership,Chair,/about/our-team/leadership/,Kate Hughes,info@civilservice.lgbt,/assets/images/team/kate-hughes.jpg,"I’ve worked in a variety of roles in the Civil Service, across D&I, HR, Project Management and IT, I’m currently working in Civil Service Employee Policy which is part of CSHR. I’ve been involved with LGBT networks for almost as long as I’ve been a civil servant, setting up and chairing a departmental network in the past and chairing the Civil Service LGBT+ Network now. I’m passionate about diversity and inclusion and feel very strongly that we should be able to bring our whole selves to work. I’m also very aware that something that makes a team stronger is the diversity of its members, whether that team is the CSLGBT+ Network Exec or the whole of the Civil Service."
Leadership,Leadership,Vice Chair,/about/our-team/leadership/,Astrid Crowley,info@civilservice.lgbt,/assets/images/team/astrid-crowley.jpeg,"I work in International Strategy & Engagement in the Home Office, currently in the Asia team. In the Civil Service LGBT+ Network, I am both a Vice Chair and Bi+ Lead. I lead a small, dedicated team that promotes bi+ visibility and inclusion across the Civil Service, by running dedicated events, publishing resources, and connecting colleagues. By not falling neatly into either lesbian/gay, or straight spaces, bi+ people can find it difficult to come out and feel accepted or legitimised, even within the LGBT+ community. I wanted to volunteer my time towards ensuring all LGBT+ staff feel equally supported and represented, no matter how they identify."
Leadership,Leadership,Vice Chair,/about/our-team/leadership/,James Jefferson,info@civilservice.lgbt,/assets/images/team/james-jefferson.jpg,"I’m currently a Policy Advisor in the Cities and Local Growth Unit. I started volunteering for the CSLGBT+ network when I joined the Civil Service in 2018 as part of a project team. I look forward to driving forward exciting projects as a Vice Chair and helping facilitate the best collaboration amongst all our networks – to ensure the Civil Service offers the most inclusive experience for us LGBT+ people. I also oversee all our communications, the website and our social media pages. Outside of work, I volunteer for a LGBT+ charity, enjoy exploring new places and finding a good last minute deal on theatre tickets!"
Leadership,Leadership,Vice Chair,/about/our-team/leadership/,Marc Fitchett,info@civilservice.lgbt,/assets/images/team/marc-fitchett.jpeg,"I work as a Project Manager in the Homelessness & Rough Sleeping team at MHCLG which is my first role in the Civil Service. I volunteered for the CS LGBT+ Network after attending the Government Equalities Office's National LGBT+ Conference and feeling empowered to make the Civil Service a more inclusive place for LGBT+ colleagues. I really hope that through the Network I’m able to help make Government a more inclusive place to work for minorities."
Leadership,Leadership,Vice Chair,/about/our-team/leadership/,Rikesh Nagamah,info@civilservice.lgbt,/assets/images/team/rikesh-nagamah.jpeg,"I work for the ESFA, within the Further Education Directorate. I joined the Civil Service having worked within the education and charity sector for the last 5 years. As a Vice Chair, I’m leading on intersectionality. Intersectionality is important, as we all have multiple political identities that form who we are. This strand of work will help the CS to improve its representation of its workforce, especially to represent our growing community. I’m also coordinating on regional pride events across the country, supporting colleagues to get the resources they need to have a visible presence and feel that sense of community cohesion."
Leadership,Leadership,Vice Chair,/about/our-team/leadership/,Edward He,info@civilservice.lgbt,/assets/images/team/edward-he.jpg,"I joined Civil Service in 2019 as a Chartered Engineer, having previously worked in higher education, R&D, the steelworks, oil & gas and aviation industries. I currently serve as one of the Vice Chairs for our Civil Service LGBT+ Network, a university career mentor, a STEM Ambassador and a trustee for a cancer support charity in South Wales. I am also a proud Welsh learner and speaker. I am keen to support our LGBT+ colleagues from different professional, religious and ethnical backgrounds and help create a culture within the Civil Service where we can truly be ourselves, value our similarities and appreciate our differences. I want to be part of this exciting transformation!"
Leadership,Leadership,Vice Chair,/about/our-team/leadership/,Leah Cunnah,info@civilservice.lgbt,/assets/images/team/leah-cunnah.jpeg,"I am an operation policy manager in the Department for Education within the Education and Skills Funding Agency. I am part of my department’s LGBT Network. I studied sexuality and gender in my Sociology degrees. I have volunteered with LGBT youth groups and delivered sessions in schools to tackle bullying and encourage equality. I was the volunteer coordinator for Liverpool Pride 2018. I am excited to join the Civil Service LGBT Network as Vice-Chair so that I can deliver projects that help embrace equality and diversity. As an ally, I want to help raise awareness and tackle discrimination."
Local organisers,Scotland,Scotland,/about/our-team/local-organisers/,Derek Bradford,scotland@civilservice.lgbt,/assets/images/team/derek-bradford.png,"I’m Derek and I am honoured to be HMRC LGBT+ PRISM Network Chairperson. I live near Glasgow with my husband George, together for 17 years, our African Grey parrot ‘Mac’ and our 2 cats Dolce & Gabbana.  Employed by HMRC since 1983, based in Cumbernauld where I am a manager in Debt Management.  I believe it is important to be visible and lead from the front. I am always actively involved in Pride season, leading my LGBT+ friends and colleagues at Pride events all over the UK as well as playing an active role in organising events for key LGBT+ dates. "
Local organisers,North West,North West,/about/our-team/local-organisers/,Matthew Walker,northwest@civilservice.lgbt,/assets/images/team/matthew-walker.jpg,"I’m Matt the Local Organiser here in the North West. I have been involved with Civil Service LGBT+ since December 2018. I first became involved in LGBT+ organising with Norwich Pride when it first started, this really made me aware that I wanted to do more for the community. We send out regular emails and have monthly socials in Liverpool and Manchester with the view to have more across the region. I also provide poster packs and make awareness ribbons for the region."
Local organisers,North West,North West,/about/our-team/local-organisers/,Ross Starkie,northwest@civilservice.lgbt,/assets/images/team/ross-starkie.jpg,"I joined the Civil Service in 2014 as a Tax Professional and have stayed in a similar role since. As well as my day job I am part of works LGBT+ Network, heading up the Liverpool Steering Committee. I am passionate to make sure the voices of all LGBT+ colleagues are heard, represented and visible. Being Bi+ I don’t fall neatly into the ‘gay space’, which comes with its own unique challenges which people don’t always considered. I have enjoyed working with Matt in the NW promoting and hosting socials as well as covering the NW weekly newsletter when needed."
